Name,Hours,Address,Street,City,State,Zip Code,Latitude,Longitude
J Mart Gas,Mon-Sun: 5:00am - 10:00pm,"210 W Elm St, Tuscaloosa, AL, 35401",210 W Elm St,Tuscaloosa,AL,35401,33.1866468,-87.57034890000001
Marathon,Mon-Sun: 5:00am - 10:00pm,"1200 US Highway 72 W, Tuscaloosa, AL, 35401",1200 US Highway 72 W,Tuscaloosa,AL,35401,33.1690726,-87.6383797
Marathon Gas Station,Mon-Sun: 5:00am - 10:00pm,"1608 Bessemer Rd, Tuscaloosa, AL, 35401",1608 Bessemer Rd,Tuscaloosa,AL,35401,33.4877845,-86.8884338
Citgo,Mon-Sun: 5:00am - 10:00pm,"734 Graymont Ave W, Tuscaloosa, AL, 35401",734 Graymont Ave W,Tuscaloosa,AL,35401,33.509743,-86.84881659999999
Woodland Petro Gas Station,Mon-Sun: 5:00am - 10:00pm,"6400 1st Ave N, Tuscaloosa, AL, 35401",6400 1st Ave N,Tuscaloosa,AL,35401,33.2368538,-87.5354677
Shell Gas Station,Mon-Sun: 5:00am - 10:00pm,"213 Greenspring Ave, Tuscaloosa, AL, 35401",213 Greenspring Ave,Tuscaloosa,AL,35401,33.1690726,-87.6383797
ID # 1034 Conoco 5982 AL-157,Mon-Sun: 5:00am - 10:00pm,"Cullman Tuscaloosa, AL, 35401",Cullman,Tuscaloosa,AL,35401,33.2058452,-87.53384059999999
Jet Pep,Mon-Sun: 5:00am - 10:00pm,"2508 AL-20, Tuscaloosa, AL, 35401",2508 AL-20,Tuscaloosa,AL,35401,33.1543257,-87.5935166
Shell,Mon-Sun: 5:00am - 10:00pm,"206 Austinville Road SW, Tuscaloosa, AL, 35401",206 Austinville Road SW,Tuscaloosa,AL,35401,34.5777169,-86.9900124
Chevron,Mon-Sun: 5:00am - 10:00pm,"380 Buster Rd, Tuscaloosa, AL, 35401",380 Buster Rd,Tuscaloosa,AL,35401,33.3615433,-87.5537717
Victory Fuel,Mon-Sun: 5:00am - 10:00pm,"3504 Cloverdale Rd, Tuscaloosa, AL, 35401",3504 Cloverdale Rd,Tuscaloosa,AL,35401,33.199944,-87.5396899
Citgo,Mon-Sun: 5:00am - 10:00pm,"2064 Hwy 72 E, Tuscaloosa, AL, 35401",2064 Hwy 72 E,Tuscaloosa,AL,35401,34.7715077,-86.516984
Drake Mini Mart Inc,Mon-Sun: 5:00am - 10:00pm,"3629 Patton Road, Tuscaloosa, AL, 35401",3629 Patton Road,Tuscaloosa,AL,35401,33.3699706,-87.5767118
Parkway Place,Mon-Sun: 5:00am - 10:00pm,"2801 Memorial Pkwy South, Tuscaloosa, AL, 35401",2801 Memorial Pkwy South,Tuscaloosa,AL,35401,34.7072982,-86.5872266
Sunoco,Mon-Sun: 5:00am - 10:00pm,"6090 Madison Pike, Tuscaloosa, AL, 35401",6090 Madison Pike,Tuscaloosa,AL,35401,34.7135465,-86.65797990000002
Texaco,Mon-Sun: 5:00am - 10:00pm,"851 Ryland Pike, Tuscaloosa, AL, 35401",851 Ryland Pike,Tuscaloosa,AL,35401,34.76796,-86.46029399999999
Fuel King,Mon-Sun: 5:00am - 10:00pm,"619 Oakwood Ave NW, Tuscaloosa, AL, 35401",619 Oakwood Ave NW,Tuscaloosa,AL,35401,33.204396,-87.557086
