Code,Price,24hr Price Change,24hr % Change,24hr Low,24hr High,24hr Trading Volume,24hr Trading Volume % Change,Market Dominance,Market Rank,Market Cap,Fully Diluted Market Cap,Yesterday Low,Yesterday High,Yesterday Open,Yesterday Close,Yesterday Volume,7 Day Low,7 Day High,30 Day Low,30 Day High,90 Day Low,90 Day High,52 Week Low,52 Week High,All Time High,All Time High %,All Time Low,All Time Low %,Return on Investment,Cirulating Supply,Total Supply,Max Supply,About,Link
BTC,"$50,950.54","$2,477.80",5.11%,"$47,228.85","$52,535.14","$54,442,050,231.91",18.06%,61.00%,1,"$949,910,948,879.07","$1,069,961,265,190.41","$47,228.85","$50,127.51","$49,612.11","$48,378.99","$47,530,897,720.12","$43,241.62","$52,535.14","$33,489.22","$58,330.57","$17,619.53","$58,330.57","$4,106.98","$58,330.57","$58,330.57",12.65%,$65.53,77656.21%,37557.45%,"18,643,787 BTC","18,643,787 BTC","21,000,000 BTC","The live Bitcoin price today is $50,950.54 USD with a 24-hour trading volume of $54,442,050,232 USD. Bitcoin is up 5.11% in the last 24 hours. The current CoinMarketCap ranking is #1, with a live market cap of $949,910,948,879 USD. It has a circulating supply of 18,643,787 BTC coins and a max. supply of 21,000,000 BTC coins.The top exchanges for trading in Bitcoin are currently Binance, Huobi Global, OKEx, HBTC, and Bybit. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/bitcoin/
ETH,"$1,612.19",$58.08,3.74%,"$1,461.33","$1,650.36","$22,824,341,734.20",9.27%,12.00%,2,"$185,239,951,705.30","$185,239,951,705.30","$1,461.33","$1,597.61","$1,564.06","$1,492.61","$22,523,669,721.96","$1,300.47","$1,670.22","$1,300.47","$2,036.29",$533.00,"$2,036.29",$95.18,"$2,036.29","$2,036.29",20.83%,$0.4209,382937.37%,56835.35%,"114,899,378 ETH","114,899,378 ETH",No Data,"The live Ethereum price today is $1,612.19 USD with a 24-hour trading volume of $22,824,341,734 USD. Ethereum is up 3.74% in the last 24 hours. The current CoinMarketCap ranking is #2, with a live market cap of $185,239,951,705 USD. It has a circulating supply of 114,899,378 ETH coins and the max. supply is not available.The top exchanges for trading in Ethereum are currently Binance, Huobi Global, OKEx, HBTC, and Bybit. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/ethereum/
ADA,$1.24,$0.02248,1.85%,$1.19,$1.26,"$5,806,802,099.44",28.93%,3.00%,3,"$39,634,007,196.22","$55,825,499,222.04",$1.19,$1.30,$1.29,$1.23,"$8,118,255,105.62",$0.9951,$1.48,$0.3888,$1.48,$0.1274,$1.48,$0.01913,$1.48,$1.48,15.99%,$0.01735,7048.57%,5622.73%,"31,948,309,441 ADA","45,000,000,000 ADA","45,000,000,000 ADA","The live Cardano price today is $1.24 USD with a 24-hour trading volume of $5,806,802,099 USD. Cardano is up 1.85% in the last 24 hours. The current CoinMarketCap ranking is #3, with a live market cap of $39,634,007,196 USD. It has a circulating supply of 31,948,309,441 ADA coins and a max. supply of 45,000,000,000 ADA coins.The top exchanges for trading in Cardano are currently Binance, Huobi Global, OKEx, HBTC, and BiKi. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/cardano/
BNB,$247.14,$9.50,4.00%,$228.64,$254.25,"$6,063,966,378.93",21.20%,2.00%,4,"$38,191,401,963.60","$42,145,659,511.07",$228.64,$264.17,$254.95,$239.52,"$5,882,262,804.22",$195.85,$264.71,$49.39,$342.88,$26.77,$342.88,$6.96,$342.88,$342.88,27.92%,$0.09611,257045.58%,214091.22%,"154,532,785 BNB","170,532,785 BNB","170,532,785 BNB","The live Binance Coin price today is $247.14 USD with a 24-hour trading volume of $6,063,966,379 USD. Binance Coin is up 4.00% in the last 24 hours. The current CoinMarketCap ranking is #4, with a live market cap of $38,191,401,964 USD. It has a circulating supply of 154,532,785 BNB coins and a max. supply of 170,532,785 BNB coins.The top exchanges for trading in Binance Coin are currently Binance, HBTC, BiKi, Hydax Exchange, and BitZ. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/binance-coin/
USDT,$1.00,$0.0001939,0.02%,$1.0000,$1.00,"$96,046,508,780.33",8.57%,2.00%,5,"$35,896,405,737.47","$36,883,905,508.04",$1.00,$1.00,$1.00,$1.00,"$92,797,362,840.81",$0.9987,$1.00,$0.9974,$1.00,$0.9940,$1.00,$0.8995,$1.08,$1.21,17.28%,$0.8995,11.25%,0.07%,"35,871,356,760 USDT","36,858,167,441 USDT",No Data,"The live Tether price today is $1.00 USD with a 24-hour trading volume of $96,046,508,780 USD. Tether is up 0.02% in the last 24 hours. The current CoinMarketCap ranking is #5, with a live market cap of $35,896,405,737 USD. It has a circulating supply of 35,871,356,760 USDT coins and the max. supply is not available.The top exchanges for trading in Tether are currently Binance, Huobi Global, OKEx, HBTC, and BiKi. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/tether/
DOT,$37.43,$1.36,3.76%,$34.59,$38.55,"$3,069,880,071.05",12.37%,2.00%,6,"$34,236,439,573.87","$39,316,543,001.19",$34.59,$37.76,$35.59,$36.15,"$3,752,858,101.24",$28.10,$38.55,$16.04,$42.06,$4.55,$42.06,$2.69,$42.06,$42.06,11.03%,$2.69,1289.78%,1242.38%,"914,793,908 DOT","1,050,533,715 DOT",No Data,"The live Polkadot price today is $37.43 USD with a 24-hour trading volume of $3,069,880,071 USD. Polkadot is up 3.76% in the last 24 hours. The current CoinMarketCap ranking is #6, with a live market cap of $34,236,439,574 USD. It has a circulating supply of 914,793,908 DOT coins and the max. supply is not available.The top exchanges for trading in Polkadot are currently Binance, Huobi Global, OKEx, HBTC, and BiKi. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/polkadot/
XRP,$0.4501,$0.01487,3.42%,$0.4250,$0.4667,"$3,310,921,271.81",0.65%,1.00%,7,"$20,437,296,660.05","$45,012,077,721.33",$0.4248,$0.4548,$0.4465,$0.4368,"$3,388,591,213.18",$0.3977,$0.4825,$0.3443,$0.6399,$0.1748,$0.7448,$0.1151,$0.7680,$3.84,88.28%,$0.002802,15962.26%,7563.94%,"45,404,028,640 XRP","99,990,831,162 XRP","100,000,000,000 XRP","The live XRP price today is $0.450121 USD with a 24-hour trading volume of $3,310,921,272 USD. XRP is up 3.42% in the last 24 hours. The current CoinMarketCap ranking is #7, with a live market cap of $20,437,296,660 USD. It has a circulating supply of 45,404,028,640 XRP coins and a max. supply of 100,000,000,000 XRP coins.The top exchanges for trading in XRP are currently Binance, Huobi Global, OKEx, HBTC, and Bybit. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/xrp/
LTC,$192.24,$15.97,9.06%,$171.20,$196.26,"$6,475,446,475.12",34.45%,1.00%,8,"$12,800,320,165.16","$16,147,796,839.19",$171.20,$184.73,$175.21,$177.87,"$5,247,274,824.80",$154.80,$204.74,$131.95,$245.96,$70.23,$245.96,$25.57,$245.96,$375.29,48.78%,$1.11,17160.37%,4370.1%,"66,586,600 LTC","66,586,600 LTC","84,000,000 LTC","The live Litecoin price today is $192.24 USD with a 24-hour trading volume of $6,475,446,475 USD. Litecoin is up 9.06% in the last 24 hours. The current CoinMarketCap ranking is #8, with a live market cap of $12,800,320,165 USD. It has a circulating supply of 66,586,600 LTC coins and a max. supply of 84,000,000 LTC coins.The top exchanges for trading in Litecoin are currently Binance, Huobi Global, OKEx, HBTC, and Bybit. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/litecoin/
LINK,$30.98,$1.67,5.68%,$27.53,$31.38,"$2,215,181,810.90",14.26%,1.00%,9,"$12,702,983,369.59","$30,982,164,123.34",$27.21,$30.45,$27.61,$28.51,"$2,745,094,103.15",$23.08,$31.38,$21.20,$36.83,$8.51,$36.83,$1.51,$36.83,$36.83,15.87%,$0.1263,24431.13%,19697.67%,"410,009,556 LINK","1,000,000,000 LINK","1,000,000,000 LINK","The live Chainlink price today is $30.98 USD with a 24-hour trading volume of $2,215,181,811 USD. Chainlink is up 5.68% in the last 24 hours. The current CoinMarketCap ranking is #9, with a live market cap of $12,702,983,370 USD. It has a circulating supply of 410,009,556 LINK coins and a max. supply of 1,000,000,000 LINK coins.The top exchanges for trading in Chainlink are currently Binance, Huobi Global, OKEx, HBTC, and Bybit. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/chainlink/
BCH,$537.82,$19.94,3.85%,$503.64,$554.68,"$4,062,972,018.32",6.40%,1.00%,10,"$10,040,991,861.99","$11,294,288,086.06",$494.75,$548.09,$500.84,$517.01,"$4,725,184,970.42",$436.74,$555.29,$411.08,$767.51,$255.87,$767.51,$139.22,$767.51,"$4,355.62",87.65%,$75.03,616.82%,3.25%,"18,669,688 BCH","18,669,688 BCH","21,000,000 BCH","The live Bitcoin Cash price today is $537.82 USD with a 24-hour trading volume of $4,062,972,018 USD. Bitcoin Cash is up 3.85% in the last 24 hours. The current CoinMarketCap ranking is #10, with a live market cap of $10,040,991,862 USD. It has a circulating supply of 18,669,688 BCH coins and a max. supply of 21,000,000 BCH coins.The top exchanges for trading in Bitcoin Cash are currently Binance, Huobi Global, OKEx, HBTC, and Bybit. You can find others listed on our crypto exchanges page.",https://coinmarketcap.com/currencies/bitcoin-cash/
